slug	name	country	first	last	complete
esperanto_post	Esperanto-Post	Germanio	1948	1953	no
esperanto_praktiko	Esperanto-Praktiko	Germanio	1919	1931	no
esperanto_pyrenees	Espéranto-Pyrénées	Francio	1979	2002	no
esperanto_ruslando	Esperanto (Ruslando)	Rusio	1905	1905	no
esperanto_servo	Esperanto-Servo	Ĉeĥio	1948	1951	no
esperanto_triumfanta_brazilo	Esperanto Triumfanta (Brazilo)	Germanio	1922	1922	no
esperanto_turismo	Esperanto-Turismo	Belgio	1967	1969	no
esperanto_uutiset	Esperanto-Uutiset	Finnlando	1925	1930	no
esperantoactualites	Esperanto-Actualités	Francio	1967	2006	no
esperantoc	EsperantOC	Germanio	1996	1998	no
esperantocu	Esperanto.cu	Kubo			no
esperantoenafriko	Esperanto En Afriko	Nederlando	2006	2007	no
esperantoendanio	Esperanto en Danio	Danio	1994		no
esperantoenskotlando	Esperanto en Skotlando	Britio	1947	2006	no
esperantoetcroixrouge	Esperanto et Croix-rouge	Francio	1910		no
esperantofako	Esperanto Fako	Hispanio			no
esperantogazetoegu	Esperanto Gazeto – Esperanto Gruppe Unterweser	Germanio	2001		no
esperantogazetoioe	Esperanto Gazeto (IOE)	Serbio	1968	1972	no
esperantohamburg	Esperanto Hamburg	Germanio	1990	2005	no
esperantointernacia	Esperanto Internacia	Britio	1936	1947	no
esperantolando	Esperanto-Lando	Usono	1929	1935	no
esperantolehti	Esperantolehti	Finnlando	1988	2008	no
esperantologio_uppsala	Esperantologio - Esperanto studies : EES (Uppsala)	Svedio	1999		no
esperantoreview	Esperanto Review	Usono	1953	1962	no
esperantosublasudakruco	Esperanto sub la Suda Kruco	Aŭstralio	1993	2006	no
esperantotriumfonta_koln	Esperanto Triumfonta	Germanio	1920	1941	no
esperantousa	Esperanto USA	Usono	1990	2008	no
esperantovendee	Espéranto Vendée / Sat-Amikaro Esperanto 85	Francio	1995	Nuntempe	yes
espero_com_cn	Espero.com.cn	Ĉinio	2005		no
espero_kleriga	Espero (Kleriga Ligo)	Rusio	1908	1908	no
esperokatolika	Espero Katolika	Francio	1903	2006	no
esperopacifista	Espero Pacifista	Francio	1905	1908	no
estlanda_esperantisto	Estlanda Esperantisto	Estonio	1908	1908	no
esto	Esto	Svedio	1950	1988	no
eta_heroldeto	Eta Heroldeto	Aŭstralio	1941	1952	no
etnismo	Etnismo	Germanio	1972	2016	no
europabulteno	Eŭropa bulteno	Italio	2000	2008	no
europadokumentaro	Eŭropa Dokumentaro	Belgio	1974	2007	no
europaunio	Eŭropa Unio	Eŭropa Unio	1962	2000	no
europo	Eŭropo	Belgio	1965	1969	no
euskakverko	Eŭska Kverko	Hispanio	1991	1997	no
eventoj	Eventoj	Hungario	1992	2002	no
evoluo	Evoluo	Kolombio	1983	1986	no
fajrero	Fajrero	Ĉeĥio	1959	1961	no
familiaesperanto	Familia Esperanto	Nederlando	1994	2011	no
fanzeranto	Fanzeranto	Brazilo	2010	2017	no
