source	words	recognisable_pct	single_char_pct
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Ombro.txt	4501	99.4	0.5
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Paŝtistino_kaj_kamentubisto.txt	1751	97.9	0.7
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Paŝtisto_de_porkoj.txt	1484	98.2	0.6
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Persista_stana_soldato.txt	1614	98.6	0.7
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Poligono.txt	660	98.2	0.8
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Reĝidino_sur_pizo.txt	347	97.1	1.4
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Rozo_de_la_tombo_de_Homero.txt	499	96.2	1.0
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Ruĝaj_ŝuoj.txt	2104	98.1	0.9
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Sambura_virineto.txt	3175	98.1	0.7
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Sonorilo.txt	1907	98.6	0.5
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Sovaĝaj_cignoj.txt	2302	98.7	0.8
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Vojkamarado.txt	7117	98.9	0.3
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Ĝardeno_de_la_paradizo.txt	5294	98.5	0.4
wsrc-Fundamenta_Krestomatio_(1903)_Al_la_fratoj.txt	288	98.6	3.1
wsrc-Fundamenta_Krestomatio_(1903)_Al_la_historio_de_la_provoj_de_lingvoj_tutmondaj_de_Leibnitz_ĝis_la_nuna_tempo.txt	3877	91.8	2.1
wsrc-Fundamenta_Krestomatio_(1903)_Al_la_memoro_de_Józef_Wasniewski.txt	447	97.8	2.5
wsrc-Fundamenta_Krestomatio_(1903)_Al_la_reĝo.txt	108	98.1	4.6
wsrc-Fundamenta_Krestomatio_(1903)_Alaŭdeto.txt	86	94.2	5.8
wsrc-Fundamenta_Krestomatio_(1903)_Aleksandro_Macedona.txt	696	98.3	1.3
wsrc-Fundamenta_Krestomatio_(1903)_El_la_unua_libro_de_la_lingvo_Esperanto.txt	3926	98.1	1.8
wsrc-Fundamento_de_Esperanto.txt	124	79.0	8.1
wsrc-Fundamento_de_Esperanto_Antaŭparolo.txt	1643	99.7	0.5
wsrc-Fundamento_de_Esperanto_Ekzercaro.txt	13081	68.3	6.4
wsrc-Fundamento_de_Esperanto_Grammar.txt	1126	43.7	17.1
wsrc-Fundamento_de_Esperanto_Universala_vortaro.txt	21639	42.0	7.3
wsrc-Malnova_Testamento_(Zamenhof)_Psalmaro.txt	27	92.6	14.8
wsrc-Malnova_Testamento_(Zamenhof)_Psalmaro_1.txt	127	97.6	3.1
wsrc-Malnova_Testamento_(Zamenhof)_Psalmaro_10.txt	298	99.0	1.3
wsrc-Malnova_Testamento_(Zamenhof)_Psalmaro_100.txt	89	96.6	4.5
wsrc-Malnova_Testamento_(Zamenhof)_Psalmaro_101.txt	157	98.1	2.5
wsrc-Originala_Verkaro.txt	377	90.2	5.8
wsrc-Originala_Verkaro_Aldono.txt	1269	87.0	41.8
wsrc-Originala_Verkaro_Antaŭparolo.txt	4068	93.8	3.4
wsrc-Originala_Verkaro_Enhavo.txt	50	86.0	16.0
wsrc-Originala_Verkaro_I.txt	234	95.3	3.8
wsrc-Originala_Verkaro_I_1.txt	1804	98.7	1.1
wsrc-Originala_Verkaro_I_10.txt	233	87.6	8.2
wsrc-Originala_Verkaro_I_11.txt	257	95.7	4.7
wsrc-Originala_Verkaro_I_12.txt	109	90.8	11.0
